rspec	rspec1,rspec2,rspec3
wss	wss-2.0,wss-3.0,wss-3.0-sp2
git-p	git-p4
report-builder	report-builder2.0
gmaps	gmaps4rails2
kxml	kxml2
uiq	uiq3
adm	adm2
codeigniter	codeigniter-2,codeigniter-3
infopath	infopath2010
gnu	gnu99
cvv	cvv8
ada	ada2012
senchatouch	senchatouch-2.4
windsor	windsor-3.0
typoscript	typoscript2
ejb	ejb-2.x,ejb-3.0,ejb-3.1,ejb-3.2
air	air2
hdf	hdf5
regsvr	regsvr32
http	http-0.9,http-1.0,http-1.1
mpld	mpld3
lcc-win	lcc-win32
cvc	cvc4
cognos	cognos-10,cognos-8
parboiled	parboiled2
vb	vb5,vb6
vc	vc1,vc10,vc6,vc8,vc90
avx	avx2,avx512
dynamics-nav	dynamics-nav-2013,dynamics-nav-2015
magicalrecord	magicalrecord-2.1,magicalrecord-2.2
graphene	graphene2
mql	mql4,mql5
ii	ii6
winbugs	winbugs14
libxml	libxml2
vs	vs2013-update-4
cobol	cobol85
geoalchemy	geoalchemy2
ia	ia64
ihtmldocument	ihtmldocument2
unittest	unittest2
ascii	ascii85
id3	id3v2
vaadin	vaadin6,vaadin7
xslt	xslt-1.0,xslt-2.0,xslt-3.0
fedora	fedora10,fedora11,fedora12,fedora16,fedora20
saml	saml2
windows	windows-10,windows-1251,windows-1252,windows-1255,windows-2000,windows-3.1,windows-7,windows-7-x64,windows-8,windows-8.1,windows-95,windows-98
reshape	reshape2
jsf	jsf-1.1,jsf-1.2,jsf-2,jsf-2.2,jsf-2.3
armv	armv6,armv7
hadoop	hadoop2
openerp	openerp-6,openerp-7,openerp-8
unity	unity2.0,unity5
html	html4
sccm	sccm-2007
sql-server-express	sql-server-express-2005,sql-server-express-2008
zope	zope3
wcag	wcag2.0
nexus	nexus-10,nexus-4,nexus-5,nexus-7
amazon-ec	amazon-ec2
reactive-cocoa	reactive-cocoa-3
r-s	r-s3,r-s4
http	http2
nio	nio2
xcode	xcode-6.2
nod	nod32
windows-xp-sp	windows-xp-sp2,windows-xp-sp3
sp-who	sp-who2
kdevelop	kdevelop4
